File_Name,Internal_Sample_Name,type,r2r_event,Cruise,Depth (m),Amount Filtered (L),Niskin Bottle,Dmix Concentration,Lat,Lon,Cast
QE014514.mzXML,JC214_193,CTD,jc214-SE-20210529.1317.001,JC214,330,1,2,1x,48.8215,-14.8387,67
QE014515.mzXML,JC214_202,CTD,jc214-SE-20210529.1317.001,JC214,20,1,21,1x,48.8215,-14.8387,67
QE014516.mzXML,JC214_12,CTD,jc214-SE-20210505.1816.001,JC214,5,1,23,1x,49.01,-14.8665,5
QE014517.mzXML,JC214_148,CTD,jc214-SE-20210524.1626.001,JC214,125,1,9,1x,48.9065,-14.7887,50
QE014518.mzXML,JC214_203,CTD,jc214-SE-20210529.1317.001,JC214,5,1,23,1x,48.8215,-14.8387,67
QE014519.mzXML,EXPORTS2_PQC_7,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014520.mzXML,JC214_6,CTD,jc214-SE-20210505.1816.001,JC214,110,1,12,1x,49.01,-14.8665,5
QE014521.mzXML,JC214_149,CTD,jc214-SE-20210524.1626.001,JC214,110,1,11,1x,48.9065,-14.7887,50
QE014522.mzXML,JC214_98,CTD,jc214-SE-20210518.1403.001,JC214,330,1,2,1x,48.9503,-14.8528,36
QE014523.mzXML,JC214_104,CTD,jc214-SE-20210518.1403.001,JC214,55,1,16,1x,48.9503,-14.8528,36
QE014524.mzXML,JC214_107,CTD,jc214-SE-20210518.1403.001,JC214,20,1,21,1x,48.9503,-14.8528,36
QE014525.mzXML,EXPORTS2_PQC_8,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014526.mzXML,JC214_105,CTD,jc214-SE-20210518.1403.001,JC214,45,1,17,1x,48.9503,-14.8528,36
QE014527.mzXML,JC214_101,CTD,jc214-SE-20210518.1403.001,JC214,125,1,9,1x,48.9503,-14.8528,36
QE014528.mzXML,JC214_103,CTD,jc214-SE-20210518.1403.001,JC214,75,1,14,1x,48.9503,-14.8528,36
QE014529.mzXML,JC214_147,CTD,jc214-SE-20210524.1626.001,JC214,150,1,7,1x,48.9065,-14.7887,50
QE014530.mzXML,JC214_197,CTD,jc214-SE-20210529.1317.001,JC214,110,1,11,1x,48.8215,-14.8387,67
QE014531.mzXML,air blank,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014532.mzXML,EXPORTS2_PQC_9,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014533.mzXML,JC214_143,CTD,jc214-SE-20210522.1414.001,JC214,5,1,23,1x,48.935,-14.7378,46
QE014534.mzXML,JC214_164,CTD,jc214-SE-20210525.1459.001,JC214,55,1,16,1x,48.8173,-14.7163,53
QE014535.mzXML,JC214_102,CTD,jc214-SE-20210518.1403.001,JC214,110,1,11,1x,48.9503,-14.8528,36
QE014536.mzXML,JC214_108,CTD,jc214-SE-20210518.1403.001,JC214,5,1,23,1x,48.9503,-14.8528,36
QE014537.mzXML,JC214_150,CTD,jc214-SE-20210524.1626.001,JC214,95,1,12,1x,48.9065,-14.7887,50
QE014538.mzXML,EXPORTS2_PQC_10,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014539.mzXML,JC214_199,CTD,jc214-SE-20210529.1317.001,JC214,75,1,14,1x,48.8215,-14.8387,67
QE014540.mzXML,JC214_200_2,CTD,jc214-SE-20210529.1317.001,JC214,55,1,16,1x,48.8215,-14.8387,67
QE014541.mzXML,JC214_153,CTD,jc214-SE-20210524.1626.001,JC214,35,1,19,1x,48.9065,-14.7887,50
QE014542.mzXML,JC214_154,CTD,jc214-SE-20210524.1626.001,JC214,20,1,21,1x,48.9065,-14.7887,50
QE014543.mzXML,JC214_106,CTD,jc214-SE-20210518.1403.001,JC214,35,1,19,1x,48.9503,-14.8528,36
QE014544.mzXML,EXPORTS2_PQC_11,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014545.mzXML,JC214_140,CTD,jc214-SE-20210522.1414.001,JC214,45,1,17,1x,48.935,-14.7378,46
QE014546.mzXML,JC214_99,CTD,jc214-SE-20210518.1403.001,JC214,175,1,5,1x,48.9503,-14.8528,36
QE014547.mzXML,JC214_100,CTD,jc214-SE-20210518.1403.001,JC214,150,1,7,1x,48.9503,-14.8528,36
QE014548.mzXML,JC214_135,CTD,jc214-SE-20210522.1414.001,JC214,150,1,7,1x,48.935,-14.7378,46
QE014549.mzXML,JC214_155,CTD,jc214-SE-20210524.1626.001,JC214,5,1,23,1x,48.9065,-14.7887,50
QE014550.mzXML,EXPORTS2_PQC_12,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014551.mzXML,JC214_194,CTD,jc214-SE-20210529.1317.001,JC214,175,1,5,1x,48.8215,-14.8387,67
QE014552.mzXML,JC214_14,CTD,jc214-SE-20210506.1658.001,JC214,330,1,3,1x,48.9155,-14.8012,9
QE014553.mzXML,JC214_15,CTD,jc214-SE-20210506.1658.001,JC214,175,1,6,1x,48.9155,-14.8012,9
QE014554.mzXML,JC214_16,CTD,jc214-SE-20210506.1658.001,JC214,150,1,8,1x,48.9155,-14.8012,9
QE014555.mzXML,JC214_18,CTD,jc214-SE-20210506.1658.001,JC214,110,1,12,1x,48.9155,-14.8012,9
QE014556.mzXML,EXPORTS2_PQC_13,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014557.mzXML,JC214_19,CTD,jc214-SE-20210506.1658.001,JC214,95,1,13,1x,48.9155,-14.8012,9
QE014558.mzXML,JC214_20,CTD,jc214-SE-20210506.1658.001,JC214,75,1,15,1x,48.9155,-14.8012,9
QE014559.mzXML,JC214_21,CTD,jc214-SE-20210506.1658.001,JC214,55,1,17,1x,48.9155,-14.8012,9
QE014560.mzXML,JC214_17,CTD,jc214-SE-20210506.1658.001,JC214,125,1,10,1x,48.9155,-14.8012,9
QE014561.mzXML,JC214_24,CTD,jc214-SE-20210506.1658.001,JC214,5,1,23,1x,48.9155,-14.8012,9
QE014561_20230307114304.mzXML,EXPORTS2_PQC_14,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014561_20230307122428.mzXML,JC214_22,CTD,jc214-SE-20210506.1658.001,JC214,35,1,19,1x,48.9155,-14.8012,9
QE014561_20230307130543.mzXML,JC214_33,CTD,jc214-SE-20210507.1426.002,JC214,55,1,16,1x,48.9225,-14.945,12
QE014561_20230307134658.mzXML,JC214_32,CTD,jc214-SE-20210507.1426.002,JC214,75,1,14,1x,48.9225,-14.945,12
QE014561_20230307142814.mzXML,JC214_31,CTD,jc214-SE-20210507.1426.002,JC214,95,1,12,1x,48.9225,-14.945,12
